global_ordinal,source_docx,source_ordinal,extracted_file,sha256,source_repository,source_commit,pipeline_repository,pipeline_commit,width_px,height_px,analysis_scale,exif_orientation_applied,estimated_orientation_degrees,estimated_skew_degrees,skew_confidence,content_left_px,content_top_px,content_right_px,content_bottom_px,content_width_px,content_height_px,margin_left_px,margin_top_px,margin_right_px,margin_bottom_px,brightness_mean,contrast_stddev,dynamic_range_p05_p95,sharpness_score,entropy_bits,dark_pixel_fraction,light_pixel_fraction,background_uniformity_score,bleed_through_proxy,content_fraction,border_contact,likely_blank,likely_low_contrast,likely_blurry,likely_overexposed,likely_underexposed,quality_score,quality_status,review_reasons,analysis_error
1,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,1,raw/fs_0001.png,d14213a12ab502f8fc3700da29ecb195d68181221ad908c29f96c73b6026164f,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,2052,731,0.877193,False,0,-0.25,0.0,0,0,0,0,0,0,0,0,2052,731,8.112,34.84,58.0,608.676,0.9969,0.953163,0.0,0.787,0.228,0.0,False,False,False,False,False,True,0.474,review,possible_underexposure;very_small_content_region,
2,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,2,raw/fs_0002.png,b58e344e270a9896b7cc1c199a16bf1d2edabcdd5c8e040814eaf23c4b8b2a51,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,968,1.0,False,0,-0.25,0.0,0,0,0,0,0,0,0,0,1786,968,10.69,40.905,136.0,555.912,1.1749,0.940955,0.0,0.885,0.101,0.0,False,False,False,False,False,True,0.505,review,possible_underexposure;very_small_content_region,
3,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,3,raw/fs_0003.png,50cfee1a71d75a354a66be69bdf8725ecdfef5fa00942174c54ea500d87de392,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1153,1361,1.0,False,0,-0.25,0.0,0,0,0,0,0,0,0,0,1153,1361,148.899,70.163,191.0,983.664,5.0852,0.187843,3e-06,0.022,0.281,0.0,False,False,False,False,False,False,0.767,review,very_small_content_region,
4,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,4,raw/fs_0004.png,8e82f6ec3da1e5d88e17d836d33997d18e3850c3683b76984be648211fd34be3,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,922,1361,1.0,False,0,-0.25,0.001,0,0,0,0,0,0,0,0,922,1361,18.555,48.027,154.0,1582.279,2.1243,0.882407,0.0,0.82,0.169,0.0,False,False,False,False,False,True,0.54,review,possible_underexposure;very_small_content_region,
5,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,5,raw/fs_0005.png,99caee338a22ea59129066c4047d1136197b8f2129e3508d7bef65bfb72241ee,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,-0.25,0.001,157,84,1688,1297,1531,1213,157,84,98,64,173.132,43.367,142.0,1698.82,6.5158,0.059591,1.2e-05,0.048,0.472,0.764005,False,False,False,False,False,False,0.899,pass,,
6,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,6,raw/fs_0006.png,4fea1521e01caa61f012b05954d255ce3355b0361af1be13cd7b13cc6f0214ad,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1684,1264,1.0,False,0,-0.25,0.271,0,0,0,0,0,0,0,0,1684,1264,169.306,55.565,210.0,1164.232,6.4294,0.089947,0.0,0.0,0.518,0.0,False,False,False,False,False,False,0.775,review,very_small_content_region,
7,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,7,raw/fs_0007.png,05ffd0c93b743942bd8ed6c17bd7f34df91be9de3d430912c693f1e1bf5cf9bf,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1681,1262,1.0,False,0,0.25,0.027,0,0,0,0,0,0,0,0,1681,1262,164.075,56.679,210.0,2207.506,6.7052,0.097737,0.0,0.0,0.681,0.0,False,False,False,False,False,False,0.773,review,very_small_content_region,
8,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,8,raw/fs_0008.png,43bc0d4cfcabd8bf533c00b3507a3c60c976e3d41a4bba1ffc85b50c2a0e618d,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1738,1361,1.0,False,0,0.25,0.104,0,0,0,0,0,0,0,0,1738,1361,153.069,67.274,209.0,2060.39,6.5034,0.155688,1e-06,0.274,0.64,0.0,False,False,False,False,False,False,0.773,review,very_small_content_region,
9,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,9,raw/fs_0009.png,35cd2f3ea388ae3db8298ce18e1d9882b582172114c3f9df41cb39a34d88bd8d,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1690,1361,1.0,False,0,0.25,0.175,55,81,1635,1278,1580,1197,55,81,55,83,170.57,46.366,145.0,2668.491,6.7375,0.062506,2e-06,0.0,0.678,0.822255,False,False,False,False,False,False,0.911,pass,,
10,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,10,raw/fs_0010.png,80d777aaf462d2a0e775e0c28b4e31c51d263a26f676befdcb419b7e1d6e05ad,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1690,1361,1.0,False,0,-0.25,0.053,57,71,1635,1278,1578,1207,57,71,55,83,174.023,44.753,137.0,2585.332,6.6651,0.055664,5e-06,0.0,0.676,0.828075,False,False,False,False,False,False,0.908,pass,,
