global_ordinal,source_docx,source_ordinal,extracted_file,sha256,source_repository,source_commit,pipeline_repository,pipeline_commit,width_px,height_px,analysis_scale,exif_orientation_applied,estimated_orientation_degrees,estimated_skew_degrees,skew_confidence,content_left_px,content_top_px,content_right_px,content_bottom_px,content_width_px,content_height_px,margin_left_px,margin_top_px,margin_right_px,margin_bottom_px,brightness_mean,contrast_stddev,dynamic_range_p05_p95,sharpness_score,entropy_bits,dark_pixel_fraction,light_pixel_fraction,background_uniformity_score,bleed_through_proxy,content_fraction,border_contact,likely_blank,likely_low_contrast,likely_blurry,likely_overexposed,likely_underexposed,quality_score,quality_status,review_reasons,analysis_error
1,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,1,raw/fs_0001.png,3abb5b8b7b8aebdc1d2567677dcfafdde0b354ac007455896eecbe689bd1c0db,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,2561,1027,0.70285,False,0,-0.0,1.0,0,0,0,0,0,0,0,0,2561,1027,32.986,75.922,221.0,920.859,1.3967,0.841878,0.001093,0.234,0.297,0.0,False,False,False,False,False,True,0.6,review,possible_underexposure;very_small_content_region,
2,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,2,raw/fs_0002.png,d6e7467a2670f9954f630214bbf897f0f89bf000ee4090744b423a47f91a510d,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,2559,1084,0.7034,False,0,-0.0,1.0,0,0,0,0,0,0,0,0,2559,1084,12.055,45.993,160.0,951.825,1.144,0.939343,0.001017,0.0,0.145,0.0,False,False,False,False,False,True,0.53,review,possible_underexposure;very_small_content_region,
3,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,3,raw/fs_0003.png,16d5c3acb50624a96b7b9f9e6d517e6ee2b44b5afa595c4c8dd75d4bd39998db,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,1153,1305,1.0,False,0,-0.25,0.0,0,0,0,0,0,0,0,0,1153,1305,142.317,75.121,191.0,1056.945,4.9848,0.223895,1e-06,0.0,0.293,0.0,False,False,False,False,False,False,0.757,review,very_small_content_region,
4,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,4,raw/fs_0004.png,0813bec4565d7af0c4c646fe9d5f736eb65d1387809479ed29280350e87f631d,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,1149,1299,1.0,False,0,-0.25,0.018,0,0,0,0,0,0,0,0,1149,1299,18.088,47.494,153.0,1419.576,2.0864,0.885424,0.0,0.637,0.155,0.0,False,False,False,False,False,True,0.537,review,possible_underexposure;very_small_content_region,
5,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,5,raw/fs_0005.png,2dab4074fd5a62208084fba29b12d28cbc900bd0deb0b88a24595477987aeace,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,2061,1314,0.873362,False,0,-0.25,0.4,0,0,0,0,0,0,0,0,2061,1314,145.783,72.091,206.0,2157.197,6.471,0.201503,0.002246,0.034,0.489,0.0,False,False,False,False,False,False,0.762,review,very_small_content_region,
6,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,6,raw/fs_0006.png,217b396caec9270837aa95a4f0141d1060e2f17396886689719a15833d59e948,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,1839,1308,0.978793,False,0,-0.0,1.0,0,0,0,0,0,0,0,0,1839,1308,158.144,68.317,210.0,1139.016,6.3417,0.151392,0.001563,0.0,0.496,0.0,False,False,False,False,False,False,0.781,review,very_small_content_region,
7,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,7,raw/fs_0007.png,da77fdaeefab5baafb8693acfdf3587377f9e4fa0a17f2944707a5df0f8abab6,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,1373,987,1.0,False,0,-0.25,0.076,0,0,0,0,0,0,0,0,1373,987,154.63,66.893,210.0,3288.662,6.5779,0.149998,0.0,0.0,0.652,0.0,False,False,False,False,False,False,0.775,review,very_small_content_region,
10,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,10,raw/fs_0010.png,8c56e1c896243cc5a55d01fdf929f38eecebef8f48c0777952f7883441bd8d5c,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,1238,988,1.0,False,0,-0.25,0.17,0,0,0,0,0,0,0,0,1238,988,140.521,78.748,209.0,3271.988,6.1402,0.235108,0.0,0.619,0.602,0.0,False,False,False,False,False,False,0.755,review,very_small_content_region,
11,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,11,raw/fs_0011.png,b15e91b3d001cf70b13036d72f19f08037c057d050f34c7b067b274ce44c06f5,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,1286,990,1.0,False,0,-0.25,0.761,0,0,0,0,0,0,0,0,1286,990,131.793,81.509,209.0,5636.157,6.4318,0.295788,8e-06,0.434,0.552,0.0,False,False,False,False,False,False,0.742,review,very_small_content_region,
15,Baptisms-San-Antonio-Baptism-Records-1788-1824--1858-1898_p1-64.docx,15,raw/fs_0015.png,394a1d2922638bade9f6fdbe7e48a6614c6fae14f95ad940c81aedb6ddc5550a,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,9f03a2632820a26b9724dac7a7a62e87776b1b04,dlstupka/hth,4b0d7c9a16b00eb463a94355f4a2aaf9e69af020,1351,988,1.0,False,0,0.25,0.002,0,0,0,0,0,0,0,0,1351,988,141.897,76.889,208.0,3894.554,6.2659,0.228844,1e-06,0.488,0.61,0.0,False,False,False,False,False,False,0.757,review,very_small_content_region,
