global_ordinal,route,pipeline_action,decision_before,input_pixel_sha256,output_pixel_sha256,output_sha256,output_width,output_height
1,preserve,preserve-and-continue,correction-candidate,d864c7f8557bbd506b313cda20d875a4d34cad029fe4a7d361ffdeb543949f2a,d864c7f8557bbd506b313cda20d875a4d34cad029fe4a7d361ffdeb543949f2a,1d3e70267e43463301fd3b98354ae7782a79bc0715fe442d24c06e919f4441ab,2051,730
2,preserve,preserve-and-continue,correction-candidate,0e5e343b59d0545dba9a174e71e74f511d42189d4366be0dffd9dea1fad4c0fe,0e5e343b59d0545dba9a174e71e74f511d42189d4366be0dffd9dea1fad4c0fe,9853430e18be7b2660914f4ffcc2b3decba2119e7249f43bb2b37f27666cc93c,1696,932
3,preserve,preserve-and-continue,correction-candidate,90b3d7b44c50b7bb066139ddb43e09d4211e86d5ddb7a0c4b89920b78405b047,90b3d7b44c50b7bb066139ddb43e09d4211e86d5ddb7a0c4b89920b78405b047,985fb7bf8f819d7dd4b9cdb193884742df7323e7a239aa6e0451ec10686c478b,1058,1338
4,preserve,preserve-and-continue,correction-candidate,bf2de747649c294ec02ebd6b339c4d49f7f12cda0f40943bcccd533a1abeaf80,bf2de747649c294ec02ebd6b339c4d49f7f12cda0f40943bcccd533a1abeaf80,86242c45b4a5e92b19e80db65bd12229acbf370e2a950b968feb1daa3462292f,912,1359
5,preserve,preserve-and-continue,correction-candidate,c2a3b28e250fd34bd60808b5862be63fd162e7ed3c008e11e88ca15720e27108,c2a3b28e250fd34bd60808b5862be63fd162e7ed3c008e11e88ca15720e27108,8ceb2fc7dbe7904d8de2562e6781e3b6b1d7e544037b4810dcc726a166696a68,1609,1272
6,preserve,preserve-and-continue,correction-candidate,bd26c0e1ce8eee6be8d6874d136b492b51129dcb4fe4c6e866b036d30e08867e,bd26c0e1ce8eee6be8d6874d136b492b51129dcb4fe4c6e866b036d30e08867e,744cfdb72bc953e697d44e142bef9275188a99a19803f55869c5cfa69e828fb5,1609,1220
7,preserve,preserve-and-continue,correction-candidate,2d9167a25fd09dd2b966f37484e24204c33cd596797a89272318da8331e1cee6,2d9167a25fd09dd2b966f37484e24204c33cd596797a89272318da8331e1cee6,67b8bc7778d92b5f01c42fcedd9aadabf948e04a4b0eb039361693d11ef0c667,1623,1235
8,preserve,preserve-and-continue,correction-candidate,5f43b4fd556d0538211834607dbd85c16ac59bad7c3896b5f31d01de3d3dd1f4,5f43b4fd556d0538211834607dbd85c16ac59bad7c3896b5f31d01de3d3dd1f4,9c0220643bfe519f3c1e0e8496eac66f9f1e9258e4fea348a587c0aa46a13e10,1661,1260
9,preserve,preserve-and-continue,correction-candidate,5e7cee7f2eb7c4a2ef991060bec2cf258010448262427490bd660543675943c8,5e7cee7f2eb7c4a2ef991060bec2cf258010448262427490bd660543675943c8,1a6b1f148afc91ed392b6d6f329766dc3fefb7ebe66632fef6d71208321c4570,1557,1180
10,preserve,preserve-and-continue,correction-candidate,4741e5f0c4f5fb1a5fef3127a598ecbc67ac5decf8fa62c0c51640e1aec00094,4741e5f0c4f5fb1a5fef3127a598ecbc67ac5decf8fa62c0c51640e1aec00094,42c4b8c9a76ec4cdcb25d1ecde16785a9ed06b50a151694ccb8601678fec71d4,1563,1194
