global_ordinal,source_sha256,output_sha256,output_pixel_sha256,base_crop_pixel_sha256,transform_decision,deskew_correction_degrees,crop_left,crop_top,crop_right_exclusive,crop_bottom_exclusive,source_width,source_height,output_width,output_height,detector_confidence
1,d14213a12ab502f8fc3700da29ecb195d68181221ad908c29f96c73b6026164f,1d3e70267e43463301fd3b98354ae7782a79bc0715fe442d24c06e919f4441ab,d864c7f8557bbd506b313cda20d875a4d34cad029fe4a7d361ffdeb543949f2a,d864c7f8557bbd506b313cda20d875a4d34cad029fe4a7d361ffdeb543949f2a,preserve,0.0,0,0,2051,730,2052,731,2051,730,0.91
2,b58e344e270a9896b7cc1c199a16bf1d2edabcdd5c8e040814eaf23c4b8b2a51,9853430e18be7b2660914f4ffcc2b3decba2119e7249f43bb2b37f27666cc93c,0e5e343b59d0545dba9a174e71e74f511d42189d4366be0dffd9dea1fad4c0fe,0e5e343b59d0545dba9a174e71e74f511d42189d4366be0dffd9dea1fad4c0fe,preserve,0.0,89,35,1785,967,1786,968,1696,932,0.9175
3,50cfee1a71d75a354a66be69bdf8725ecdfef5fa00942174c54ea500d87de392,985fb7bf8f819d7dd4b9cdb193884742df7323e7a239aa6e0451ec10686c478b,90b3d7b44c50b7bb066139ddb43e09d4211e86d5ddb7a0c4b89920b78405b047,90b3d7b44c50b7bb066139ddb43e09d4211e86d5ddb7a0c4b89920b78405b047,preserve,0.0,61,15,1119,1353,1153,1361,1058,1338,1.0
4,8e82f6ec3da1e5d88e17d836d33997d18e3850c3683b76984be648211fd34be3,86242c45b4a5e92b19e80db65bd12229acbf370e2a950b968feb1daa3462292f,bf2de747649c294ec02ebd6b339c4d49f7f12cda0f40943bcccd533a1abeaf80,bf2de747649c294ec02ebd6b339c4d49f7f12cda0f40943bcccd533a1abeaf80,preserve,0.0,0,0,912,1359,922,1361,912,1359,0.9475
5,99caee338a22ea59129066c4047d1136197b8f2129e3508d7bef65bfb72241ee,015920a5a08c7258cba408aa17def547c6e0c1a64988a42123cb9d6efc8211cb,7d52795b213eebda620520048dbc415c9f2a020f5054bda68e8a55307711fbee,7d52795b213eebda620520048dbc415c9f2a020f5054bda68e8a55307711fbee,preserve,0.0,103,66,1712,1338,1786,1361,1609,1272,0.9924999999999999
6,4fea1521e01caa61f012b05954d255ce3355b0361af1be13cd7b13cc6f0214ad,744cfdb72bc953e697d44e142bef9275188a99a19803f55869c5cfa69e828fb5,bd26c0e1ce8eee6be8d6874d136b492b51129dcb4fe4c6e866b036d30e08867e,bd26c0e1ce8eee6be8d6874d136b492b51129dcb4fe4c6e866b036d30e08867e,preserve,0.0,27,16,1636,1236,1684,1264,1609,1220,0.9924999999999999
7,05ffd0c93b743942bd8ed6c17bd7f34df91be9de3d430912c693f1e1bf5cf9bf,19e5634b9644b4e94a276d2bfe7ab0bfa1400ce342d21612ae2f842b76258f2a,9b4e944aba9c23bcbb37bf73fa46019695717871945f0038ad4f1fed248a88bf,9b4e944aba9c23bcbb37bf73fa46019695717871945f0038ad4f1fed248a88bf,preserve,0.0,26,8,1649,1243,1681,1262,1623,1235,0.9924999999999999
8,43bc0d4cfcabd8bf533c00b3507a3c60c976e3d41a4bba1ffc85b50c2a0e618d,9c0220643bfe519f3c1e0e8496eac66f9f1e9258e4fea348a587c0aa46a13e10,5f43b4fd556d0538211834607dbd85c16ac59bad7c3896b5f31d01de3d3dd1f4,5f43b4fd556d0538211834607dbd85c16ac59bad7c3896b5f31d01de3d3dd1f4,preserve,0.0,24,75,1685,1335,1738,1361,1661,1260,0.9924999999999999
9,35cd2f3ea388ae3db8298ce18e1d9882b582172114c3f9df41cb39a34d88bd8d,1a6b1f148afc91ed392b6d6f329766dc3fefb7ebe66632fef6d71208321c4570,5e7cee7f2eb7c4a2ef991060bec2cf258010448262427490bd660543675943c8,5e7cee7f2eb7c4a2ef991060bec2cf258010448262427490bd660543675943c8,preserve,0.0,69,83,1626,1263,1690,1361,1557,1180,0.985
10,80d777aaf462d2a0e775e0c28b4e31c51d263a26f676befdcb419b7e1d6e05ad,42c4b8c9a76ec4cdcb25d1ecde16785a9ed06b50a151694ccb8601678fec71d4,4741e5f0c4f5fb1a5fef3127a598ecbc67ac5decf8fa62c0c51640e1aec00094,4741e5f0c4f5fb1a5fef3127a598ecbc67ac5decf8fa62c0c51640e1aec00094,preserve,0.0,63,71,1626,1265,1690,1361,1563,1194,0.9924999999999999
11,c4bf0c6d6e3b227dd2a36674394644f300435113e8f56216476d093349605514,3aef0fc80f7fc363b1b4df2b3dec7896c914f30b156a1f9c28b307371a2c457d,89d544b6366cf15ebfbfa62ccf87675d4053fcb7b9e3e48d2eb7e804b93cdb45,89d544b6366cf15ebfbfa62ccf87675d4053fcb7b9e3e48d2eb7e804b93cdb45,preserve,0.0,71,86,1604,1262,1642,1361,1533,1176,0.9924999999999999
12,a32dc9caf8e1c887788d88a31e41130400cd6e922f25148a20a8bdb8a4ae04bc,56903a22b2d1952221d9a4d8f4084238aa202150301d169c264ce9b670bf0ce0,e8fd746d85f9f802cda7a88e42556716f6b155ad01b9d93cd93c2634fc8dd319,e8fd746d85f9f802cda7a88e42556716f6b155ad01b9d93cd93c2634fc8dd319,preserve,0.0,11,41,1668,1352,1684,1361,1657,1311,0.9924999999999999
13,8eebcc988b572d8c5b0fb2c78ee9a1d9237b8bf23a78f523329d91a67814347a,934e40c0fae08d52c6129096d1490916f5405c8bc8a3c01bf6f822501b5733bf,c5700e89d7acb21eed1aa978fa04139b50df8505e5be61ee89e9cd9bd8f2e0df,c5700e89d7acb21eed1aa978fa04139b50df8505e5be61ee89e9cd9bd8f2e0df,preserve,0.0,26,54,1653,1298,1690,1361,1627,1244,0.9924999999999999
14,8958f2bb8675c4de4f31712e4cb017d2ffd0c6b2ddcd02400dcf502420c84390,1e918ded392fa243fc108eee5c950c222d38bde43d3c485f396d54d78611c51f,c73ededeb1f24fe72544f21720445d4f420de7c2e521c8ea75a163a8e8424e26,c73ededeb1f24fe72544f21720445d4f420de7c2e521c8ea75a163a8e8424e26,preserve,0.0,43,44,1667,1276,1738,1361,1624,1232,0.9924999999999999
15,6dbcb5d11453f676c6cc8e73a064dc0540d50e9ecf6cbda6d7262b9b288f40aa,9c79ae73b7858a701f8bd17532a9bcb3f9c860349ed9e345499b9bae4bead0ef,1606f0849b455f9f55027de02479376a60694a9fb862d180b68edef0c9f7d8b1,1606f0849b455f9f55027de02479376a60694a9fb862d180b68edef0c9f7d8b1,preserve,0.0,24,60,1659,1298,1690,1361,1635,1238,0.9924999999999999
16,809801a63f301700c1c6bcc8b569c1218c13ba44a8522802ae6e2c17076793ac,0b3d391666e284cc898eba8f33f80d0bde5d09aea5ef67ee8ee6811f4b4630c7,6e229151c011ed91f8605f698f2df4af7947bcbd7f3ffe7cf0c71cef9b4a1120,6e229151c011ed91f8605f698f2df4af7947bcbd7f3ffe7cf0c71cef9b4a1120,preserve,0.0,68,19,1692,1267,1738,1361,1624,1248,0.9924999999999999
17,054205bc2351f4262300776876ac6312cfe925c9f35d2644e5bfb810b39722c0,51e876426f0e0da3f65d06ab8bab92a8da6e7659f85a673c967b3a37e71bad17,6cdc606f67bc1dcfae552949eecd2043b74f682018dd7a7d13abeb0d22729972,6cdc606f67bc1dcfae552949eecd2043b74f682018dd7a7d13abeb0d22729972,preserve,0.0,15,15,1745,1340,1786,1361,1730,1325,0.9924999999999999
