global_ordinal,method_id,safe,background_span_reduction_fraction,high_frequency_correlation,new_endpoint_clipping_fraction,absolute_median_luminance_shift,output_pixel_sha256
26,background-subtraction-50,True,0.531246,0.999947,0.0,0.007234,636052d616e827a98ff6c3e5d0e218693ef9cc61498813e5b287bc712d9e9c6f
26,background-subtraction-75,True,0.812495,0.999943,0.0,0.010613,db1608d274f1cd8a3c872b20196a776fcbf1c3c8576c91365186c90959261c4b
26,background-division-50,True,0.531246,0.999782,0.000108,0.007191,dd857e59d77011239632f9786273bf284693102d6c2f48b0568e764f3b652fa0
26,background-division-75,True,0.812495,0.999604,0.000106,0.010387,a5fd20dfee717a40221518eac24120350edaa566d544ecb25a3f1214ab6c22f1
51,background-subtraction-50,True,0.5238,0.999949,0.0,0.005441,7a8795fd8f0a185a796611036381570cefbfd2e3b2a3468e3af45a3ecea43aca
51,background-subtraction-75,True,0.66665,0.999945,0.0,0.00765,87aed460077820eeef851f68e71cbec9cea276b67c54b310814646ea259a6557
51,background-division-50,True,0.5238,0.99976,0.000134,0.005435,c288b3f74fca872072686678ac5a609403257a30d04e6f95225883b98dbda2de
51,background-division-75,True,0.66665,0.999544,0.00013,0.007567,69a812ac538b802f395306f981fe20f83311140655a90ebf1816248db168e891
100,background-subtraction-50,True,0.5,0.99997,0.0,0.006087,c0eb8bc1f5ca1c478236db17e7650d37187cd141bd1ae67eb2b3b4a859900b69
100,background-subtraction-75,True,0.73334,0.999965,0.0,0.010238,b145cf69715d45b227150681cdb08db334de6c3367a73689f363e3ddb2daf8ad
100,background-division-50,True,0.5,0.99969,6.5e-05,0.00604,650bdfaf9bde98b9273590fa41ed1fcabd746c38f84518f07798a19340941e14
100,background-division-75,True,0.73334,0.999354,6.3e-05,0.009976,3edfa9611e6c864bd6d2f7c53b73b877dc690888c18d342f748da18a32f2dc44
101,background-subtraction-50,True,0.352948,0.999973,0.0,0.007774,ab3fd362488ca8aa3e8c4df7d5781c4a555acbea7a6241fbd26ff1d865efbb10
101,background-subtraction-75,True,0.705881,0.999969,3.8e-05,0.012071,e1c859be609d46985b1ac449400704f086abda70153b2373a6e5198f71a653ba
101,background-division-50,True,0.382363,0.99969,2.2e-05,0.007761,d3cf30f97eccf3c44466094dfeb5ff54486ef49b30878621993fdd3d67b75874
101,background-division-75,True,0.705881,0.999352,1.5e-05,0.01185,30d498200f79e8eff98ef618767ff38d62c45707c50523a436a0076bb30b00c5
126,background-subtraction-50,True,0.483861,0.999969,4e-06,0.003687,c86520e303d2d87472bd9e2f201de60a62c01236d30a6b8f83930df6c65f61c3
126,background-subtraction-75,True,0.709677,0.999962,7.5e-05,0.005801,4dc1f2a5640c88777b8a3ecb983e04645b68396b0674a09345cd60b36d699589
126,background-division-50,True,0.483861,0.999719,2.9e-05,0.003764,4f4c460360b650f84e026e213eededcfc085258ee7eef8184d43d333505fb3f0
126,background-division-75,True,0.709677,0.999418,2.6e-05,0.005792,cd737e97c7cbceb20f1737d024479f843891a482b6774039975815a55929e726
183,background-subtraction-50,True,0.428575,0.999942,0.0,0.0,b7b853bb882e5f52ce8fc8cbe8cce6ffb4ab291956ec66e05a42dfc7d7a4d6ea
183,background-subtraction-75,True,0.714275,0.99993,0.0,0.0,53144f598f0a3d1678811ec86b82ef5ddf86fa20d029197504b25e9e60aa1fbf
183,background-division-50,True,0.428575,0.999802,0.001232,0.0,567b2927aa096a3709900ce5c41ee19705f9b509f94e035df4145bfa0443702c
183,background-division-75,True,0.714275,0.999637,0.001233,0.0,57ad3f4fa2bffa4cd4a71ad0ecc5c450107d27ba7d04b233b339ac3e77e9109f
197,background-subtraction-50,True,0.391303,0.999933,0.0,0.003922,013c765ba29e00b78fb23f8a3a6d2d2bf042ff75f10a065955e883c380cc83f6
197,background-subtraction-75,True,0.565214,0.99992,0.0,0.003922,16add3d2f6ef89dda28fb47a7f26dd76564478a24c55ac358aa7d372e3fd52ae
197,background-division-50,True,0.391303,0.999746,0.000874,0.003922,bf77c8e0c563595847cdf8fabd43e9a6d697a33651376fa15e97361d879ecb37
197,background-division-75,True,0.565214,0.999523,0.000874,0.003922,1b5168a0bafcb2ee882488fc3a20bb9f9f546e1562318084b27253d06cc3a16b
326,background-subtraction-50,True,0.416668,0.999973,0.0,0.004691,52155e05368d091df1b580bfe3e95a60be9bd069dcb07ccc522ced91c5afd778
326,background-subtraction-75,True,0.749995,0.999964,0.0,0.006562,ce11c20eb3d8e89e896dfefb7770ce13bafaa6c1724da089cd1d0e6d0e1134f0
326,background-division-50,True,0.416668,0.9998,0.000216,0.004704,41f5c3546df2309215f0460bd82461a8cb7e04674c9a95ce2521f0034c076802
326,background-division-75,True,0.749995,0.99959,0.00021,0.006499,e9453b4566bc6aa05ea467ea935e5bf9d5d56636f008ee8a638a979f611fd56c
